"日時","注文 ID","取引ID","ペア","売・買","注文数量","手数料","価格","ステータス","自己・媒介"
"2017/09/15 10:01:23","JFX20170914-213643-103601F","JEX20170915-010123-910985F","FX_BTC_JPY","売り","0.365","0","365,000","取引済","媒介"
"2017/09/15 10:01:23","JFX20170914-213643-103601F","JEX20170915-010123-910970F","FX_BTC_JPY","売り","0.635","0","365,000","取引済","媒介"
"2017/09/15 03:10:42","JFX20170914-132900-048855F","JEX20170914-181042-776755F","FX_BTC_JPY","買い","3","0","345,000","取引済","媒介"
"2017/08/31 02:14:11","JOR20170830-171222-698304","JEX20170830-171411-828554","BTC_JPY","買い","0.001","0.000001","503,396","取引済","媒介"
"2017/08/31 02:07:09","JOR20170830-170558-678621","JEX20170830-170709-827667","BTC_JPY","買い","0.0018","0.0000018","503,855","取引済","自己"
"2017/08/29 01:46:14","JFX20170828-162759-883404F","JEX20170828-164614-503871F","FX_BTC_JPY","売り","1","0","481,500","取引済","媒介"
"2017/08/29 01:27:10","JFX20170828-162616-873788F","JEX20170828-162710-479156F","FX_BTC_JPY","買い","1","0","480,000","取引済","媒介"
"2017/08/25 23:32:33","JFX20170825-143233-241704F","JEX20170825-143233-023440F","FX_BTC_JPY","売り","0.0263","0","493,101","取引済","媒介"
"2017/08/25 23:32:33","JFX20170825-143233-241704F","JEX20170825-143233-023434F","FX_BTC_JPY","売り","0.0737","0","493,101","取引済","媒介"
"2017/08/25 23:32:21","JFX20170825-143221-240714F","JEX20170825-143221-023117F","FX_BTC_JPY","売り","0.1","0","492,785","取引済","媒介"
"2017/08/25 09:39:15","JFX20170818-124034-500453F","JEX20170825-003915-601009F","FX_BTC_JPY","売り","1","0","492,450","取引済","媒介"
"2017/08/20 12:40:16","JFX20170820-034016-647033F","JEX20170820-034016-930227F","FX_BTC_JPY","買い","0.1","0","470,991","取引済","媒介"
"2017/08/19 01:57:53","JFX20170818-165753-816462F","JEX20170818-165753-824188F","FX_BTC_JPY","買い","0.1","0","482,989","取引済","媒介"
"2017/08/18 21:28:12","JFX20170818-122812-440615F","JEX20170818-122812-402160F","FX_BTC_JPY","買い","1","0","490,813","取引済","媒介"
"2017/08/18 15:31:57","JOR20170818-063157-519932","JEX20170818-063157-075638","BTC_JPY","売り","0.09970112","0.00014955","473,210","取引済","媒介"
"2017/08/18 15:20:56","JOR20170818-062056-484434","JEX20170818-062056-073635","BTC_JPY","買い","0.04","0.00006","473,080","取引済","媒介"
"2017/08/18 15:20:56","JOR20170818-062056-484434","JEX20170818-062056-073626","BTC_JPY","買い","0.06","0.00009","473,050","取引済","媒介"
"2017/08/18 15:16:28","JOR20170818-061628-469814","JEX20170818-061628-072826","BTC_JPY","売り","0.08367722","0.0001255","473,000","取引済","媒介"
"2017/08/18 15:16:28","JOR20170818-061628-469814","JEX20170818-061628-072816","BTC_JPY","売り","0.00486108","0.0000073","473,001","取引済","媒介"
"2017/08/18 15:16:28","JOR20170818-061628-469814","JEX20170818-061628-072804","BTC_JPY","売り","0.00003743","0.00000006","473,020","取引済","媒介"
"2017/08/18 15:16:28","JOR20170818-061628-469814","JEX20170818-061628-072791","BTC_JPY","売り","0.01082427","0.00001624","473,083","取引済","媒介"
"2017/08/18 15:02:29","JOR20170818-060228-427685","JEX20170818-060229-069986","BTC_JPY","売り","0.1","0.00015","474,185","取引済","媒介"
"2017/08/18 14:57:09","JOR20170818-055709-412921","JEX20170818-055709-069328","BTC_JPY","買い","0.05597992","0.00008396","473,248","取引済","媒介"
"2017/08/18 14:57:09","JOR20170818-055709-412921","JEX20170818-055709-069312","BTC_JPY","買い","0.05701806","0.00008553","473,248","取引済","媒介"
"2017/08/18 14:57:09","JOR20170818-055709-412921","JEX20170818-055709-069304","BTC_JPY","買い","0.08700202","0.00013051","472,985","取引済","媒介"
