タイムスタンプ,貸出ID,銘柄名,種別,数量,レート,申請日
2026/04/15 00:00:00,43906,BTC,貸出開始,0.15219,,
2026/05/01 00:00:00,43906,BTC,貸借料付与,0.00051508,11977641.04,
2026/06/01 00:00:00,43906,BTC,貸借料付与,0.00100135,11725585.84,
2026/04/17 00:00:00,44010,USDC_ERC_20,貸出開始,10000,,
2026/05/01 00:00:00,44010,USDC_ERC_20,貸借料付与,36.70289293,156.96,
2026/06/01 00:00:00,44010,USDC_ERC_20,貸借料付与,81.56897844,159.28,
