Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT1LyLkCYq4UT9QvqhnJMNvr,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.15,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-19 08:00:20
NXT2BsEMvMezZWvdiq56CDvHE,Locking Term Deposit,BTC,-0.01000000,BTC,0.01000000,$767.42,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-05-19 05:31:52
NXT7ExlUdlJG63E00RZChnrx2,Unlocking Term Deposit,BTC,0.01000000,BTC,0.01000000,$767.42,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-05-19 05:31:52
NXT42GFwoPwAD7X7NDGd9gyfq,Interest,NEXO,4.20149564,NEXO,4.20149564,$3.68,-,-,"approved / 3.682766 USDC",2026-05-19 05:00:00
NXT6yMqUc1qyXHT3bJpiVENll,Interest,NEXO,0.99003289,NEXO,0.99003289,$0.87,-,-,"approved / NEXO Interest Earned",2026-05-19 05:00:00
NXT2ng9QqUm0fZXS49jD037fX,Interest,NEXO,1.31897933,NEXO,1.31897933,$1.16,-,-,"approved / 0.00001503 BTC",2026-05-19 05:00:00
NXT1HeIJLNnD30FNLT28PLEW4,Fixed Term Interest,NEXO,4.08271823,NEXO,4.08271823,$3.59,-,-,"approved / BTC Term Deposit Interest in NEXO",2026-05-19 05:00:00
NXTAOvPSm6JGp3NPT2yiH5jS,Interest,NEXO,17.15641110,NEXO,17.15641110,$15.03,-,-,"approved / 15.045105 USDT",2026-05-19 05:00:00
NXT5ypff5F8AT2Tbcj7NoQP3i,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.23,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-19 02:37:01
NXT58eGvEoyly0csMVkf0SKZ9,Dual Investment Interest,BTC,0.00001246,BTC,0.00001246,$0.96,-,-,"completed / BTC Interest Earned",2026-05-18 08:00:20
NXT3KOeex7DMb0xXeEdSYj6uZ,Dual Investment Exchange,USDT,1000.00000000,BTC,0.01281304,$999.29,-,-,"completed / Exchange USDT to BTC",2026-05-18 08:00:20
NXT4CeO16xX3tV2wRyAcZPc0N,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.29,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-18 08:00:20
NXTaWRdk1n4x5dhdL1AEofDA,Interest,NEXO,4.25877394,NEXO,4.25877394,$3.68,-,-,"approved / 3.682766 USDC",2026-05-18 05:00:00
NXT3paQDWAU0rG5hoXkV2v8z0,Interest,NEXO,0.98807806,NEXO,0.98807806,$0.85,-,-,"approved / NEXO Interest Earned",2026-05-18 05:00:00
NXT5RXq8d7tLLuR7U9YzT5Wuh,Interest,NEXO,1.19786979,NEXO,1.19786979,$1.04,-,-,"approved / 0.00001338 BTC",2026-05-18 05:00:00
NXT4ZS00FnkJCVXfYfWFfEKqS,Interest,NEXO,17.69312227,NEXO,17.69312227,$15.30,-,-,"approved / 15.305379 USDT",2026-05-18 05:00:00
NXT3GCUTd4DngF6IGsKnmKf63,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.43,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-18 03:48:53
NXT62c9o99ADgAoXNVf31tA0f,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.54,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-17 11:40:10
NXT6fuh6X6LA0cQzvVwkJuDrE,Unlocking Term Deposit,USDT,1000.00000000,USDT,1000.00000000,$999.50,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-05-17 05:32:54
NXT14t77ZT583383cuiyttzjs,Unlocking Term Deposit,USDC,1000.00000000,USDC,1000.00000000,$999.73,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-05-17 05:32:54
NXT205IOMMJSqupMdFmnFwcfm,Interest,NEXO,3.95063565,NEXO,3.95063565,$3.45,-,-,"approved / 3.449889 USDC",2026-05-17 05:00:00
NXT56tQ0A00uDV7AKS1UZO4Iu,Interest,NEXO,0.98101411,NEXO,0.98101411,$0.86,-,-,"approved / NEXO Interest Earned",2026-05-17 05:00:00
NXT57hKyfp9m9KhhgN7Lsyp8o,Fixed Term Interest,NEXO,30.41456894,NEXO,30.41456894,$26.51,-,-,"approved / USDC Term Deposit Interest in NEXO",2026-05-17 05:00:00
NXT3BSjDsVDb9doYlClrXtqFJ,Fixed Term Interest,NEXO,33.15748437,NEXO,33.15748437,$28.90,-,-,"approved / USDT Term Deposit Interest in NEXO",2026-05-17 05:00:00
NXT2ReIhpPY5ej37xVG3fkIhE,Interest,NEXO,1.19742032,NEXO,1.19742032,$1.05,-,-,"approved / 0.00001338 BTC",2026-05-17 05:00:00
NXT1ImIgk7Rl06qw9uALvNloM,Interest,NEXO,17.52293977,NEXO,17.52293977,$15.30,-,-,"approved / 15.305379 USDT",2026-05-17 05:00:00
NXT5qSQLyNXAUHgDV5dXzK3SB,Dual Investment Interest,BTC,0.00001227,BTC,0.00001227,$0.96,-,-,"completed / BTC Interest Earned",2026-05-16 08:00:12
NXT5VJEcOaJABGFb1lW4ia6CO,Dual Investment Exchange,USDT,1000.00000000,BTC,0.01257535,$999.48,-,-,"completed / Exchange USDT to BTC",2026-05-16 08:00:12
NXTT98d5VKC9MgcABbBEci0x,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.48,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-16 08:00:12
NXT5zLg5KEoF2UhM3iLtucb7Y,Interest,NEXO,3.89066452,NEXO,3.89066452,$3.45,-,-,"approved / 3.449889 USDC",2026-05-16 05:00:00
NXT3ObDB0PttqdqM1dZZox3lO,Interest,NEXO,0.97911365,NEXO,0.97911365,$0.87,-,-,"approved / NEXO Interest Earned",2026-05-16 05:00:00
NXToTmU1na34fTsWebsyHzQI,Interest,NEXO,1.04837380,NEXO,1.04837380,$0.93,-,-,"approved / 0.00001176 BTC",2026-05-16 05:00:00
NXT4JON5eHgYgOslkydnnry9w,Interest,NEXO,17.54833430,NEXO,17.54833430,$15.56,-,-,"approved / 15.565653 USDT",2026-05-16 05:00:00
NXT1Ad9MN7W14m6pxRLsalNko,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.42,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-16 04:20:09
NXT6lSRzGQ5HnA81Y23BajEZj,Dual Investment Interest,USDT,1.22037000,USDT,1.22037000,$1.22,-,-,"completed / USDT Interest Earned",2026-05-15 08:00:23
NXT3gt0r1dO8adMrBSAGyGLFX,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.71,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-15 08:00:23
NXT9swOVaSDEkrxPbbP7jGHm,Interest,NEXO,3.75385827,NEXO,3.75385827,$3.45,-,-,"approved / 3.449889 USDC",2026-05-15 05:00:00
NXT39ZVGvVhh6ZemjumieWe4T,Interest,NEXO,0.97727471,NEXO,0.97727471,$0.90,-,-,"approved / NEXO Interest Earned",2026-05-15 05:00:00
NXT1hGycVLWkk3MmDvmSwH0I,Interest,NEXO,1.03879617,NEXO,1.03879617,$0.95,-,-,"approved / 0.00001176 BTC",2026-05-15 05:00:00
NXT4hogBS1sEwljNOZ6l6zuj3,Interest,NEXO,16.93689664,NEXO,16.93689664,$15.56,-,-,"approved / 15.565335 USDT",2026-05-15 05:00:00
NXT4qkmxBcruFZU0GApf38aGI,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.74,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-15 02:36:22
NXTd5rVoKQVh1GRSFPJIRHS5,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.74,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-05-15 02:35:51
NXT5oSv7tYDddF0m7YTc7JSa2,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.74,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-05-15 02:35:21
NXT7GBUOC8N2X1cOV4LNwLdVK,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.73,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-05-15 02:35:02
NXT4xxXKtng1BzFE0W08JkI8Z,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.73,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-05-15 02:34:43
NXT6dewPXJZwdN8r6OolNhIzx,Dual Investment Interest,BTC,0.00002115,BTC,0.00002115,$1.69,-,-,"completed / BTC Interest Earned",2026-05-14 08:00:22
NXT1JfyRSROp8JP5pke9vvUXg,Dual Investment Exchange,USDT,1000.00000000,BTC,0.01249683,$999.46,-,-,"completed / Exchange USDT to BTC",2026-05-14 08:00:22
NXT7K2OKqcSwl7uevcLzYt2gs,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.46,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-14 08:00:22
NXT5Grd1Qim5HSo43GxIDpctT,Interest,NEXO,3.82330536,NEXO,3.82330536,$3.45,-,-,"approved / 3.449889 USDC",2026-05-14 05:00:00
NXTL9aqhXpQbfdhKhFcRkgTu,Interest,NEXO,0.97140515,NEXO,0.97140515,$0.88,-,-,"approved / NEXO Interest Earned",2026-05-14 05:00:00
NXT3RCG3y7L9YJcEfUpNpDN5O,Interest,NEXO,0.89090543,NEXO,0.89090543,$0.80,-,-,"approved / 0.00001014 BTC",2026-05-14 05:00:00
NXT2wjfb0COW6wy36cN42ILwq,Interest,NEXO,17.24701367,NEXO,17.24701367,$15.56,-,-,"approved / 15.565335 USDT",2026-05-14 05:00:00
NXTSUW71eM4zPbmn7lcCJ2ok,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.50,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-13 22:14:38
NXTueapCVCdxIB041KFJyrAw,Withdrawal,SOL,-6.25000000,SOL,6.25000000,$598.15,-,-,"approved / SOL withdrawal",2026-05-13 09:10:32
NXT2bBVdewnIEwm11qOayIRCP,Transfer From Pro Wallet,SOL,6.25000000,SOL,6.25000000,$598.12,-,-,"approved / SOL Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-13 09:08:49
NXT1PmwqzJjJWr0UQ6kxeL1Rl,Transfer From Pro Wallet,NEXO,49.54337875,NEXO,49.54337875,$45.44,-,-,"approved / NEXO Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-13 09:08:44
