Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT5LMtFwlUKtIiOlUEbXx7np,Interest,NEXO,18.42419479,NEXO,18.42419479,$16.46,-,-,"approved / 16.462313 USDT",2026-05-08 05:00:00
NXT4b1nbHN2C1vUXYL4zepJeV,Transfer From Pro Wallet,USDT,1146.75583400,USDT,1146.75583440,$1146.48,-,-,"approved / USDT Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-08 02:56:39
NXT5PItCiFKQpwnHrJ18q90WB,Transfer From Pro Wallet,USDC,1146.00000000,USDC,1146.00000000,$1145.71,-,-,"approved / USDC Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-08 02:56:33
NXT10e970FOLodxRSOHzRwVIx,Transfer From Pro Wallet,NEXO,47.30113287,NEXO,47.30113287,$42.16,-,-,"approved / NEXO Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-08 02:56:24
NXT1eQCJUtepxK9AozAcWgTeu,Transfer To Pro Wallet,SOL,-26.03461714,SOL,26.03461714,$2292.85,-,-,"approved / SOL Transfer from Savings Wallet to Nexo Pro Wallet",2026-05-08 02:53:12
NXTvR7QS9kaPKophkn09wXBa,Transfer To Pro Wallet,NEXO,-50.00000000,NEXO,50.00000000,$44.62,-,-,"approved / NEXO Transfer from Savings Wallet to Nexo Pro Wallet",2026-05-08 02:52:59
NXT6KFHJ6vFHOBZG7Tqghg0nT,Top up Crypto,SOL,26.03461714,SOL,26.03461714,$2292.29,-,-,"approved / 3fFhm2nDNFUs15za8VV9BFing6PMHW2fQV8NLs7JuNrkpwtJtW9q2ZhZ91HbCFeaWUHvkTXQNMMQDVB594sc7DF8",2026-05-08 02:45:27
NXT3Ehimkf7LEas0tVjp6QWXf,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.86,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-08 00:49:40
NXTdVHgAfZw2LwD9pUkYNHcm,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.90,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-07 08:34:23
NXT2xmZ70O4wOaIU25QrO0dcE,Locking Term Deposit,BTC,-0.01000000,BTC,0.01000000,$810.43,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-05-07 05:27:28
NXT7ZPYLStc1F3Vd8USmMxGd3,Unlocking Term Deposit,BTC,0.01000000,BTC,0.01000000,$810.43,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-05-07 05:27:28
NXT1NTJjNu8y0GNbMCRdhONoG,Interest,NEXO,3.64775038,NEXO,3.64775038,$3.30,-,-,"approved / 3.299451 USDC",2026-05-07 05:00:00
NXT1MWxmjp73YvZmqeY84KX1z,Interest,NEXO,1.02591777,NEXO,1.02591777,$0.93,-,-,"approved / NEXO Interest Earned",2026-05-07 05:00:00
NXT6VOmH3xedMo0qAt42589UV,Interest,NEXO,0.80132446,NEXO,0.80132446,$0.72,-,-,"approved / 0.00000890 BTC",2026-05-07 05:00:00
NXT20ofIF6POX25PtyPWkILI9,Fixed Term Interest,NEXO,4.01935012,NEXO,4.01935012,$3.63,-,-,"approved / BTC Term Deposit Interest in NEXO",2026-05-07 05:00:00
NXT68bJdqZZODXShjYJWBkQd7,Interest,NEXO,18.48787244,NEXO,18.48787244,$16.72,-,-,"approved / 16.722587 USDT",2026-05-07 05:00:00
NXT6wxBs45ExJBrknq4k3gJQI,Interest,NEXO,3.63563852,NEXO,3.63563852,$3.30,-,-,"approved / 3.299451 USDC",2026-05-06 05:00:00
NXT1oG7WtKSorTzZsFeatK6EX,Interest,NEXO,1.02398373,NEXO,1.02398373,$0.93,-,-,"approved / NEXO Interest Earned",2026-05-06 05:00:00
NXT1IpE7jN20kdhGasvY28mRh,Interest,NEXO,0.79451011,NEXO,0.79451011,$0.72,-,-,"approved / 0.00000890 BTC",2026-05-06 05:00:00
NXT6ymorCWyiCqnpSECFlxWJQ,Interest,NEXO,18.42703428,NEXO,18.42703428,$16.72,-,-,"approved / 16.722587 USDT",2026-05-06 05:00:00
NXT4tNu7duNK3TurpV2v78uIo,Unlocking Term Deposit,USDT,18000.00000000,USDT,18000.00000000,$17995.94,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-05-05 06:09:03
NXT5FBSh70Hlj3s7qr2qya3V4,Interest,NEXO,3.64401124,NEXO,3.64401124,$3.30,-,-,"approved / 3.299451 USDC",2026-05-05 05:00:00
NXT4tU1vRMLYY4AufMv5GuWxe,Interest,NEXO,0.97183440,NEXO,0.97183440,$0.88,-,-,"approved / NEXO Interest Earned",2026-05-05 05:00:00
NXT5y1t9JNXuGSI1tbC6eE1Tv,Fixed Term Interest,NEXO,624.08560514,NEXO,624.08560514,$561.53,-,-,"approved / USDT Term Deposit Interest in NEXO",2026-05-05 05:00:00
NXT4MoUfKhYRopYPi3hoNvwHN,Interest,NEXO,0.68461098,NEXO,0.68461098,$0.62,-,-,"approved / 0.00000776 BTC",2026-05-05 05:00:00
NXT4YzUD8IUk8Mxhl17qFHkWv,Interest,NEXO,13.29456734,NEXO,13.29456734,$12.04,-,-,"approved / 12.037657 USDT",2026-05-05 05:00:00
NXT7eOxBPiVoFFPLIjqOj6l9Z,Transfer From Pro Wallet,BTC,0.00885480,BTC,0.00885480,$710.61,-,-,"approved / BTC Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-04 21:25:18
NXT6SjRpEtWAZAJIXhmPHzc6g,Transfer From Pro Wallet,NEXO,1.24801446,NEXO,1.24801446,$1.13,-,-,"approved / NEXO Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-04 21:25:10
NXT7fVhRQJhgxAnOk0aVwa1X1,Transfer To Pro Wallet,NEXO,-786.79705079,NEXO,786.79705079,$712.34,-,-,"approved / NEXO Transfer from Savings Wallet to Nexo Pro Wallet",2026-05-04 21:23:16
NXTRUiNCJ4NVo5PFP5mjYax2,Locking Term Deposit,USDC,-1500.00000000,USDC,1500.00000000,$1499.79,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-05-04 21:15:17
NXT6qhQgtsZUpUuNMgPJXe7y4,Locking Term Deposit,USDT,-2000.00000000,USDT,2000.00000000,$1999.69,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-05-04 21:13:35
NXT7JeyXk5O6RYqF23UNUrDmZ,Dual Investment Interest,USDT,0.72580000,USDT,0.72580000,$0.73,-,-,"completed / USDT Interest Earned",2026-05-04 08:02:01
NXT7Cet6vzN9FxlL9xLEcLJoa,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.79,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-04 08:02:01
NXT24w6CCLMGRCxYUOeeVOlSJ,Interest,NEXO,4.04730306,NEXO,4.04730306,$3.65,-,-,"approved / 3.648766 USDC",2026-05-04 05:00:00
NXT6eZGjU2Tuy1BLfqcd1jjVb,Interest,NEXO,1.03398310,NEXO,1.03398310,$0.93,-,-,"approved / NEXO Interest Earned",2026-05-04 05:00:00
NXT4mvTRkiiwZ58IyI0mj133q,Interest,NEXO,0.67622991,NEXO,0.67622991,$0.61,-,-,"approved / 0.00000776 BTC",2026-05-04 05:00:00
NXTMu35S8A92NasRdzNAnacv,Interest,NEXO,13.64088997,NEXO,13.64088997,$12.30,-,-,"approved / 12.297742 USDT",2026-05-04 05:00:00
NXT11z5p4ZIKxyWoGiiyONBZA,Unlocking Term Deposit,BTC,0.01000000,BTC,0.01000000,$782.94,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-05-03 05:28:59
NXT39qbpugX1xcJaG1oMHc0i5,Interest,NEXO,4.00301066,NEXO,4.00301066,$3.65,-,-,"approved / 3.648766 USDC",2026-05-03 05:00:00
NXT5dWc3dJpmX0KP7G0zAcRC5,Interest,NEXO,1.03209116,NEXO,1.03209116,$0.94,-,-,"approved / NEXO Interest Earned",2026-05-03 05:00:00
NXT6VWWvoCg5MvpyTMeqcZOOH,Interest,NEXO,0.55840929,NEXO,0.55840929,$0.51,-,-,"approved / 0.00000647 BTC",2026-05-03 05:00:00
NXT1gMVfC7Ov63RcTuWLqpWoo,Fixed Term Interest,NEXO,3.99036017,NEXO,3.99036017,$3.60,-,-,"approved / BTC Term Deposit Interest in NEXO",2026-05-03 05:00:00
NXT38npgX9I3Qxd6fBgQc4iiz,Interest,NEXO,13.77730598,NEXO,13.77730598,$12.56,-,-,"approved / 12.558016 USDT",2026-05-03 05:00:00
NXT6R9N8pqgHX5xakcdezNTJ9,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.79,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-03 02:53:17
NXTcszNXwaPbEHoUlzPhRF3W,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.79,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-05-03 02:52:59
NXT32DZqraK3oyTyvvVc2TUXW,Dual Investment Interest,USDT,0.40545000,USDT,0.40545000,$0.41,-,-,"completed / USDT Interest Earned",2026-05-02 08:02:02
NXT7fVf2MnBAYwEOmBBKkgv7H,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.79,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-02 08:02:02
NXT4aD6qKBVo4AEGC05J9ZK55,Unlocking Term Deposit,USDT,600.00000000,USDT,600.00000000,$599.86,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-05-02 05:29:32
NXT1w39YLT8Zdjt4mplKNnZ2G,Unlocking Term Deposit,USDC,600.00000000,USDC,600.00000000,$599.88,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-05-02 05:29:32
NXT77eOoK2vyqrBkjlzGkrJE1,Interest,NEXO,3.87110697,NEXO,3.87110697,$3.51,-,-,"approved / 3.509040 USDC",2026-05-02 05:00:00
NXT5Cu7FleqI3Qy4Tmvr8pjAf,Interest,NEXO,1.02729164,NEXO,1.02729164,$0.93,-,-,"approved / NEXO Interest Earned",2026-05-02 05:00:00
NXT48AJDf6Wxv617PxZlSDlPL,Interest,NEXO,0.55882372,NEXO,0.55882372,$0.51,-,-,"approved / 0.00000647 BTC",2026-05-02 05:00:00
NXT3UrPa3H5mk2gN2Q2qGztL4,Fixed Term Interest,NEXO,19.36811155,NEXO,19.36811155,$17.55,-,-,"approved / USDC Term Deposit Interest in NEXO",2026-05-02 05:00:00
NXTohnZoAUY41py4ov2FPa8B,Fixed Term Interest,NEXO,21.04437763,NEXO,21.04437763,$19.07,-,-,"approved / USDT Term Deposit Interest in NEXO",2026-05-02 05:00:00
NXT3dQMmQHVobEAftUd53ehBo,Interest,NEXO,13.39375512,NEXO,13.39375512,$12.14,-,-,"approved / 12.141472 USDT",2026-05-02 05:00:00
NXT4yLOiNUThZjBD0QHZuZMaA,Dual Investment Interest,USDT,3.63364500,USDT,3.63364500,$3.63,-,-,"completed / USDT Interest Earned",2026-05-01 08:02:04
NXT5gFdw4ZTBJ4PfhepyquOsL,Dual Investment Unlock,USDT,1500.00000000,USDT,1500.00000000,$1499.48,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-01 08:02:04
NXT5fNwoIFyr3VVOcZ5raMl11,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.51,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-01 05:30:50
NXT5S9KE0PUbqd0H4SlUN5AmN,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.51,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-05-01 05:30:26
NXTJUd2gGY7FUovArsuqcAjq,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.51,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-05-01 05:30:08
NXT2vUUHQHcxCEjGTbVZhhJJ1,Interest,NEXO,3.91261673,NEXO,3.91261673,$3.51,-,-,"approved / 3.509040 USDC",2026-05-01 05:00:00
NXT1PQ0TdWhyz1DgI3g3qSGHl,Interest,NEXO,1.01794201,NEXO,1.01794201,$0.91,-,-,"approved / NEXO Interest Earned",2026-05-01 05:00:00
NXTtzh8PF1ld8bhSdvfQeYr9,Interest,NEXO,0.55116866,NEXO,0.55116866,$0.49,-,-,"approved / 0.00000647 BTC",2026-05-01 05:00:00
NXT18Y87E5YXOKVctLm86N2x0,Interest,NEXO,12.46587361,NEXO,12.46587361,$11.18,-,-,"approved / 11.181590 USDT",2026-05-01 05:00:00
NXT2MQ3eJPgXSNjdHqzU0TyTY,Transfer From Pro Wallet,NEXO,97.49954128,NEXO,97.49954128,$86.88,-,-,"approved / NEXO Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-30 20:06:01
NXT51CDBh9WWwuLzrr5LKqoMy,Transfer From Pro Wallet,USDT,3184.33417800,USDT,3184.33417830,$3182.87,-,-,"approved / USDT Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-30 20:05:47
NXT4H4l1uhtnWVHit8SDvK0O7,Transfer To Pro Wallet,SOL,-38.39999460,SOL,38.39999460,$3186.36,-,-,"approved / SOL Transfer from Savings Wallet to Nexo Pro Wallet",2026-04-30 20:04:49
NXT6EreZyVeysUlWxbvCGDGpY,Transfer To Pro Wallet,NEXO,-100.00000000,NEXO,100.00000000,$89.11,-,-,"approved / NEXO Transfer from Savings Wallet to Nexo Pro Wallet",2026-04-30 20:04:14
NXT6ywlt99gPQZzIa3etJcwb3,Top up Crypto,SOL,38.39999460,SOL,38.39999460,$3174.69,-,-,"approved / 5MWydiCjcbuCbijCXgQ8fXWiVDkAGhFnwkuNYnxW9MpuNahU1KuwUX88YKUbHa6xy8kTQ9wvoR1d3by2UMzqy16A",2026-04-30 20:02:26
NXT3BlfNgbQw4xjIOjG18fyep,Dual Investment Interest,USDT,0.73743000,USDT,0.73743000,$0.74,-,-,"completed / USDT Interest Earned",2026-04-30 08:02:00
NXT5hseXsWyyKZzNdfAOQjdeq,Dual Investment Unlock,USDT,1500.00000000,USDT,1500.00000000,$1499.18,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-04-30 08:02:00
NXT33T18xMQJJLSFPZ1dL7Th0,Locking Term Deposit,BTC,-0.01000000,BTC,0.01000000,$753.40,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-04-30 05:28:00
NXT5JHF6v71zi7nNZ6te9hCNy,Unlocking Term Deposit,BTC,0.01000000,BTC,0.01000000,$753.40,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-04-30 05:28:00
NXT3PmQhYzLQo2969nde6CIiP,Interest,NEXO,3.96152151,NEXO,3.96152151,$3.51,-,-,"approved / 3.509040 USDC",2026-04-30 05:00:00
NXT3ZD2zYdFB4QfA3zrf9TZi7,Interest,NEXO,1.02026681,NEXO,1.02026681,$0.90,-,-,"approved / NEXO Interest Earned",2026-04-30 05:00:00
NXT5HOvocZ1hhzlZnl3y9en0S,Interest,NEXO,0.55399259,NEXO,0.55399259,$0.49,-,-,"approved / 0.00000647 BTC",2026-04-30 05:00:00
NXT551jhkAIqbKRNjWz1EA6FG,Fixed Term Interest,NEXO,3.97258341,NEXO,3.97258341,$3.51,-,-,"approved / BTC Term Deposit Interest in NEXO",2026-04-30 05:00:00
NXT6JNyJptnh5Xc5ENbhGeLWL,Interest,NEXO,12.17983378,NEXO,12.17983378,$10.79,-,-,"approved / 10.790809 USDT",2026-04-30 05:00:00
NXT22Jl1MaoKDiPvfYj3OMQgb,Dual Investment Lock,USDT,-1500.00000000,USDT,1500.00000000,$1499.41,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-04-29 23:24:10
NXT6lbJtGBJWpLZJOfwIJo5yb,Withdrawal,SOL,-6.00000000,SOL,6.00000000,$497.51,-,-,"approved / SOL withdrawal",2026-04-29 23:21:39
NXT45eQXZ9fcQuxZLT62pB7mW,Transfer From Pro Wallet,USDT,0.68654000,USDT,0.68654000,$0.69,-,-,"approved / USDT Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-29 23:20:49
NXT7AQXCSXuJrXhePfoyxZlkv,Transfer From Pro Wallet,SOL,6.00000000,SOL,6.00000000,$497.57,-,-,"approved / SOL Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-29 23:20:43
NXT2V6HJbxSjqza32aYdWtFk9,Transfer From Pro Wallet,NEXO,49.60573174,NEXO,49.60573174,$43.83,-,-,"approved / NEXO Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-29 23:20:37
NXT6lClzNi0A3qaCZIfebf4UL,Transfer To Pro Wallet,USDT,-500.00000000,USDT,500.00000000,$499.80,-,-,"approved / USDT Transfer from Savings Wallet to Nexo Pro Wallet",2026-04-29 23:18:45
NXT1HByEc0eNBKep1DiyaNdVS,Transfer To Pro Wallet,NEXO,-50.00000000,NEXO,50.00000000,$44.23,-,-,"approved / NEXO Transfer from Savings Wallet to Nexo Pro Wallet",2026-04-29 23:18:11
NXT5LnGUh2w7AuO20VE3jpju6,Dual Investment Interest,USDT,1.58106000,USDT,1.58106000,$1.58,-,-,"completed / USDT Interest Earned",2026-04-29 08:02:00
NXT1f20WzWdcWIG8nfCuYJC2V,Dual Investment Unlock,USDT,1500.00000000,USDT,1500.00000000,$1499.72,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-04-29 08:02:00
NXT4knuuBMqWjGOVeJWsDaLcx,Interest,NEXO,3.93602790,NEXO,3.93602790,$3.51,-,-,"approved / 3.509040 USDC",2026-04-29 05:00:00
NXTeUMSx34BMya58ozw02vlt,Interest,NEXO,1.02287766,NEXO,1.02287766,$0.91,-,-,"approved / NEXO Interest Earned",2026-04-29 05:00:00
NXT7l652J7icydziDFlgmOhaZ,Interest,NEXO,0.55346424,NEXO,0.55346424,$0.49,-,-,"approved / 0.00000647 BTC",2026-04-29 05:00:00
NXT9rKf4Fb7629AiSSXtfUrp,Interest,NEXO,12.24944358,NEXO,12.24944358,$10.92,-,-,"approved / 10.920534 USDT",2026-04-29 05:00:00
NXT2s8GetgwCgYn7Nv2yXp2z9,Dual Investment Lock,USDT,-1500.00000000,USDT,1500.00000000,$1499.85,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-04-28 21:34:23
NXT4XAyk42dxPMKN5Y7OmvKNv,Dual Investment Lock,USDT,-1500.00000000,USDT,1500.00000000,$1499.85,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-04-28 21:34:03
NXT6pYcurxFahLhu2eZSfe0Db,Dual Investment Interest,USDT,1.09530000,USDT,1.09530000,$1.10,-,-,"completed / USDT Interest Earned",2026-04-28 08:02:01
NXT4jVTes1UxVVRFXx0fdOCpg,Dual Investment Unlock,USDT,1500.00000000,USDT,1500.00000000,$1499.69,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-04-28 08:02:01
NXTtKaCGa4yuQStE5XdkLGRR,Interest,NEXO,3.88994514,NEXO,3.88994514,$3.51,-,-,"approved / 3.509040 USDC",2026-04-28 05:00:00
NXT1warIpK4UQVAVn1KIhlu5X,Interest,NEXO,1.02144217,NEXO,1.02144217,$0.92,-,-,"approved / NEXO Interest Earned",2026-04-28 05:00:00
NXTTSy2G60Djyj5zxzDwSyDn,Interest,NEXO,0.40196506,NEXO,0.40196506,$0.36,-,-,"approved / 0.00000469 BTC",2026-04-28 05:00:00
NXTdncaX92YFai7364B9HHoX,Interest,NEXO,12.10653908,NEXO,12.10653908,$10.92,-,-,"approved / 10.920249 USDT",2026-04-28 05:00:00
NXT7SVmDZdRqCn2hqy0cWLIkz,Dual Investment Lock,USDT,-1500.00000000,USDT,1500.00000000,$1499.87,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-04-27 23:11:55
NXT5OrZAJosiUWr3U7xhWWcjD,Locking Term Deposit,USDC,-1000.00000000,USDC,1000.00000000,$999.85,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-04-27 23:09:10
NXT7deXQoRnSIQVG0MakkkLma,Locking Term Deposit,USDT,-2000.00000000,USDT,2000.00000000,$1999.87,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-04-27 23:07:37
NXT3HQQwdApMtKZqYjayzEbGq,Locking Term Deposit,NEXO,-1500.00000000,NEXO,1500.00000000,$1349.92,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-04-27 23:06:27
NXT6Z2k7YV8AIo6ia8C6Fcfvb,Transfer From Pro Wallet,NEXO,0.30525897,NEXO,0.30525897,$0.27,-,-,"approved / NEXO Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-27 22:57:24
NXT6mppVSIm4086GfYcCeELhV,Transfer From Pro Wallet,BTC,0.01381484,BTC,0.01381484,$1063.79,-,-,"approved / BTC Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-27 22:57:10
NXT46rLDywS17WB6abVP46scZ,Transfer To Pro Wallet,NEXO,-1185.00000000,NEXO,1185.00000000,$1066.50,-,-,"approved / NEXO Transfer from Savings Wallet to Nexo Pro Wallet",2026-04-27 22:54:50
NXT2qgR0Rc7eBLBsyHUYOMV5F,Dual Investment Lock,USDT,-1500.00000000,USDT,1500.00000000,$1500.04,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-04-27 06:45:19
NXT3uWGv3jEVI3QEsgjwjKdCn,Dual Investment Lock,USDT,-1500.00000000,USDT,1500.00000000,$1500.04,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-04-27 06:45:02
NXT3643IG89EsvtRMWuofDP5O,Interest,NEXO,4.06793478,NEXO,4.06793478,$3.74,-,-,"approved / 3.741917 USDC",2026-04-27 05:00:00
NXT2Iwf3qV28owzosHb93sggH,Interest,NEXO,1.23735153,NEXO,1.23735153,$1.14,-,-,"approved / NEXO Interest Earned",2026-04-27 05:00:00
NXT5CI0Y6h8RvbTy4eIGKM6dQ,Interest,NEXO,0.40137555,NEXO,0.40137555,$0.37,-,-,"approved / 0.00000469 BTC",2026-04-27 05:00:00
NXT6HkxWVM1pATxiRGKOSZ7jl,Interest,NEXO,13.29140587,NEXO,13.29140587,$12.22,-,-,"approved / 12.221619 USDT",2026-04-27 05:00:00
NXTi0rXsucgwlSXDkuEDdrXN,Unlocking Term Deposit,USDC,600.00000000,USDC,600.00000000,$599.86,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-04-26 05:28:09
NXTgpDjM0aRiH9A9kb7sLw0p,Unlocking Term Deposit,USDT,600.00000000,USDT,600.00000000,$600.08,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-04-26 05:28:09
NXT7enMWWv0onNaOgWtAvkEv4,Interest,NEXO,3.97653049,NEXO,3.97653049,$3.60,-,-,"approved / 3.602191 USDC",2026-04-26 05:00:00
NXT51AFiC0GGsYnJKBcVpJdJa,Interest,NEXO,1.23245922,NEXO,1.23245922,$1.12,-,-,"approved / NEXO Interest Earned",2026-04-26 05:00:00
NXT7EngHfezqWKO3frI7RDuKo,Fixed Term Interest,NEXO,19.89022497,NEXO,19.89022497,$18.04,-,-,"approved / USDC Term Deposit Interest in NEXO",2026-04-26 05:00:00
NXT5BsUyCNgxycAgK6BEo5NQW,Interest,NEXO,0.40169520,NEXO,0.40169520,$0.36,-,-,"approved / 0.00000469 BTC",2026-04-26 05:00:00
NXT3mPvvAkwcKnCjd1Tlh0V5L,Fixed Term Interest,NEXO,21.58365770,NEXO,21.58365770,$19.58,-,-,"approved / USDT Term Deposit Interest in NEXO",2026-04-26 05:00:00
NXT2QCYSQnuhrL7V2biSqQwGl,Interest,NEXO,13.32463040,NEXO,13.32463040,$12.07,-,-,"approved / 12.065454 USDT",2026-04-26 05:00:00
NXT1T5tP0aZI9oHy9ELkZFkfe,Dual Investment Interest,USDT,1.21821000,USDT,1.21821000,$1.22,-,-,"completed / USDT Interest Earned",2026-04-25 08:02:02
NXTPWOnFkwESHmhEjbRZn552,Dual Investment Unlock,USDT,1500.00000000,USDT,1500.00000000,$1500.22,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-04-25 08:02:02
NXT2i9Cvavduq0iKC9cKyw1st,Interest,NEXO,3.96252608,NEXO,3.96252608,$3.60,-,-,"approved / 3.602191 USDC",2026-04-25 05:00:00
NXT1aCdOvefwBJlBco7LxH68B,Interest,NEXO,1.23096559,NEXO,1.23096559,$1.12,-,-,"approved / NEXO Interest Earned",2026-04-25 05:00:00
NXT1hQpPGmLqy65pka2eNYkuS,Interest,NEXO,0.40123935,NEXO,0.40123935,$0.36,-,-,"approved / 0.00000469 BTC",2026-04-25 05:00:00
NXT6OFbNxC13QCYUe0jBjAxw7,Interest,NEXO,12.84827671,NEXO,12.84827671,$11.68,-,-,"approved / 11.674726 USDT",2026-04-25 05:00:00
NXT2rWarrS8vwrFoMqcirKQa5,Dual Investment Interest,USDT,1.22223000,USDT,1.22223000,$1.22,-,-,"completed / USDT Interest Earned",2026-04-24 08:02:09
NXT5KzaiWyGsYcxGUkDTDgtG3,Dual Investment Unlock,USDT,1500.00000000,USDT,1500.00000000,$1500.24,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-04-24 08:02:09
NXT1ctG5phCK41sT1oCSaGiUx,Interest,NEXO,3.57932286,NEXO,3.57932286,$3.24,-,-,"approved / 3.237040 USDC",2026-04-24 05:00:00
NXT1tobTr0yd5mWmjTPIu6cxH,Interest,NEXO,1.22173113,NEXO,1.22173113,$1.10,-,-,"approved / NEXO Interest Earned",2026-04-24 05:00:00
NXT4gG6tISIJ2LOm7xEktAVIZ,Interest,NEXO,0.40633280,NEXO,0.40633280,$0.37,-,-,"approved / 0.00000469 BTC",2026-04-24 05:00:00
NXT7K8wXNG8ORWBDw92jtB76w,Interest,NEXO,12.46289439,NEXO,12.46289439,$11.27,-,-,"approved / 11.266246 USDT",2026-04-24 05:00:00
NXT6R3xwQR9wDcfmrGuGIQ9JN,Dual Investment Lock,USDT,-1500.00000000,USDT,1500.00000000,$1500.33,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-04-24 04:36:56
NXT6GwhBCgeRu7ArYG8uCYz1r,Dual Investment Lock,USDT,-1500.00000000,USDT,1500.00000000,$1500.30,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-04-24 01:38:41
NXT2Zsn7Ilq1APBgGL0O3D6oB,Dual Investment Lock,USDT,-1500.00000000,USDT,1500.00000000,$1500.29,-,-,"rejected / Transfer from Savings Wallet to Dual Investment",2026-04-24 01:38:14
NXT7Pn7y7N8hPf858G9v3s3Av,Transfer From Pro Wallet,USDT,1568.20456000,USDT,1568.20456000,$1568.52,-,-,"approved / USDT Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-23 22:33:04
NXT2uMo3hL6kCd94siYlbqMRS,Transfer From Pro Wallet,USDC,1568.00000000,USDC,1568.00000000,$1567.61,-,-,"approved / USDC Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-23 22:32:59
NXT6ndGiWMNvuIHu0dIJg6Ns4,Transfer From Pro Wallet,NEXO,96.35485909,NEXO,96.35485909,$87.03,-,-,"approved / NEXO Transfer from Nexo Pro Wallet to Savings Wallet",2026-04-23 22:32:54
NXT2fbE8OpYd1ZdFZd9IukpGI,Transfer To Pro Wallet,NEXO,-100.00000000,NEXO,100.00000000,$90.32,-,-,"approved / NEXO Transfer from Savings Wallet to Nexo Pro Wallet",2026-04-23 22:30:20
NXT4GEeR7vrLoQFZF4sOUQtmv,Transfer To Pro Wallet,SOL,-36.39999460,SOL,36.39999460,$3137.41,-,-,"approved / SOL Transfer from Savings Wallet to Nexo Pro Wallet",2026-04-23 22:29:56
