id,timestamp,pair,side,type,price,executedPrice,triggerPrice,requestedAmount,filledAmount,tradingFee,feeCurrency,status,orderId
186337260,2026-05-12 01:42:25.171,SOL/USDT,buy,market,,,,20.86,0.00000000,,,completed,345cf641-2a1c-4643-891c-ff43eec6d3ee
186337259,2026-05-12 01:42:21.967,SOL/USDT,buy,market,,,,20.85,0.00000000,,,completed,f9d92d11-8195-4cea-b923-15e976951ff9
186337253,2026-05-12 01:42:14.22,SOL/USDT,buy,market,,,,20.87,0.00000000,,,completed,db3d61e3-a6da-4815-aa0e-0b145974fef5
186334966,2026-05-11 23:22:13.009,NEXO/BTC,sell,market,0.00001126,0.00001126,,858.0,858.00000000,0.6000984311643489,NEXO,completed,490bbba3-0beb-4b0a-a88c-f73f3db2ac1a
186060017,2026-05-08 02:56:09.075,USDC/USDT,buy,market,1.00010000,1.00010000,,1146.0,1146.00000000,0.8999326901503253,NEXO,completed,bb2cd192-73a0-4369-b7cc-ca83dd9f6217
186059986,2026-05-08 02:53:58.419,SOL/USDT,sell,market,88.05186000,88.05186000,,26.04,26.04000000,1.7989344363147276,NEXO,completed,512014de-b3e4-4986-8413-03d590f7c787
185843238,2026-05-04 21:24:23.636,NEXO/BTC,sell,market,0.00001128,0.00001128,,785.01,785.00000000,0.5490363397339949,NEXO,completed,84f904cd-3d20-4ffd-95ab-e6a098d906e7
185580386,2026-04-30 20:05:13.944,SOL/USDT,sell,market,82.94697000,82.94697000,,38.39,38.39000000,2.5004587187279152,NEXO,completed,50c4ce0b-4ac9-4d97-86d8-fbf81ab4f527
185515091,2026-04-29 23:20:08.245,SOL/USDT,buy,market,83.21891000,83.21891000,,0.37,0.37000000,0.0243132092549641,NEXO,completed,78084f44-896f-4a63-b265-611caaed297c
185515090,2026-04-29 23:20:04.715,SOL/USDT,buy,market,83.21891000,83.21891000,,1.12,1.12000000,0.0735967415285399,NEXO,completed,4cf06ab0-e083-4714-9a48-6e43bc3c079d
185515083,2026-04-29 23:20:00.092,SOL/USDT,buy,market,,,,1.5,0.00000000,,,completed,f057896e-ceb3-4cf9-89a4-4420276d9d25
185515082,2026-04-29 23:19:56.723,SOL/USDT,buy,market,83.21891000,83.21891000,,4.51,4.51000000,0.2963583074051027,NEXO,completed,110bab4f-68c9-44c2-b70e-f6cdcc05dcf7
185515076,2026-04-29 23:19:52.988,SOL/USDT,buy,market,,,,6.01,0.00000000,,,completed,59c370b5-6f9e-41ac-abe8-d0695b10185a
185515075,2026-04-29 23:19:36.027,SOL/USDT,buy,market,,,,6.01,0.00000000,,,completed,37d48ab4-0418-40b0-81dc-f676288a3d46
185515074,2026-04-29 23:19:31.869,SOL/USDT,buy,market,,,,6.01,0.00000000,,,completed,4a1d530e-6b47-42e1-904c-89eb4d5c3122
185515073,2026-04-29 23:19:27.961,SOL/USDT,buy,market,,,,6.01,0.00000000,,,completed,df69a6ae-4f22-4093-9525-2018335a4185
185515072,2026-04-29 23:19:23.295,SOL/USDT,buy,market,,,,6.01,0.00000000,,,completed,ac442fbf-bb4e-4dfd-b246-4f66ad33f304
185515064,2026-04-29 23:19:16.371,SOL/USDT,buy,market,,,,6.01,0.00000000,,,completed,26f10ba0-a0c9-42f8-9889-c72d0c5e5fc2
185389666,2026-04-27 22:56:17.672,NEXO/BTC,sell,market,0.00001167,0.00001167,,1184.0,1184.00000000,0.8278452813247348,NEXO,completed,811d633e-ef53-4cfd-8604-40f90f20826a
185389654,2026-04-27 22:55:43.059,NEXO/USDT,buy,dust convert,0.90014919,0.90014919,,0.0000000108861242,0.00000001,0.00000000000762028694000000000000000000000000000000000,NEXO,completed,4076d9a7-d8c4-4feb-88c7-5b85a6fe1245
185389653,2026-04-27 22:55:43.036,NEXO/USDT,buy,dust convert,1.11092695,1.11092695,,0.13319748097557024,0.13319748,,,completed,c045f2d2-7c27-41ac-baf3-9ec880144e9a
185389652,2026-04-27 22:55:43.033,SOL/USDT,sell,dust convert,84.53000000,84.53000000,,0.00144735,0.00144735,,,completed,c045f2d2-7c27-41ac-baf3-9ec880144e9a
185389651,2026-04-27 22:55:42.996,SOL/NEXO,sell,dust convert,0.00000000,0.00000000,,0.00144735,0.00000000,0.00009323823668289914000000000000000000000000000000000,NEXO,completed,c045f2d2-7c27-41ac-baf3-9ec880144e9a
185126902,2026-04-23 22:32:32.121,USDC/USDT,buy,market,0.99967000,0.99967000,,1568.0,1568.00000000,1.2147794187012124,NEXO,completed,ee25a37d-0193-4e26-a3bd-3bb64f682589
185126873,2026-04-23 22:31:17.463,SOL/USDT,sell,market,86.14525055,86.14525055,,36.4,36.40000000,2.4303614947683109,NEXO,completed,263386cd-3a48-4176-9ef5-f941c93f5867
185068426,2026-04-23 04:38:34.676,SOL/USDT,sell,market,85.80463695,85.80463695,,36.4,36.40000000,2.4259899571238350,NEXO,completed,6ff41e67-c408-45e7-b7be-244e8712cc3b
184826285,2026-04-19 13:32:24.391,NEXO/USDT,buy,market,0.90300000,0.90300000,,20.0,20.00000000,0.0140000000000000,NEXO,completed,1d038f8c-aa78-4c41-9486-3f2a076f4375
184826244,2026-04-19 13:32:00.56,SOL/USDT,sell,market,86.49342000,86.49342000,,75.0,75.00000000,5.0370544093178037,NEXO,completed,d68dbb49-6b22-4dbf-951f-436c1cce89b4
184462441,2026-04-14 05:44:11.206,BTC/USDT,buy,market,74285.41000000,74285.41000000,,0.0201,0.02010000,1.1542959812777535,NEXO,completed,9b78a729-903f-46ed-91de-31ad90455176
184462436,2026-04-14 05:43:47.933,USDC/USDT,sell,market,0.99931000,0.99931000,,1500.0,1500.00000000,1.1587162497929435,NEXO,completed,d5523499-de42-4155-a5b8-9380a72aa2e8
184462273,2026-04-14 05:38:15.498,USDC/USDT,buy,market,0.99955000,0.99955000,,15000.0,15000.00000000,11.5510401761144744,NEXO,completed,e49afc9b-980d-42ce-90c0-b70fb17724da
